将棋で歩がなると？,と
山手線の代々木駅と渋谷駅の間は◯◯駅,はらじゅく
山手線の原宿駅と恵比寿駅の間は◯◯駅,しぶや
山手線の渋谷駅と目黒駅の間は◯◯駅,えびす
カナダの首都は？,オタワ
カナダの主にケベックで話されるフランス語のことをなんというか,ケベコワ
赤毛のアンの舞台となる島の名前は？プリンスエドワードアイランド
MFの前田がバイクマンガで1番に思いつく漫画といえば？,ぶっこみのたく
特攻の拓の読み方,ぶっこみのたく
8/15に長崎である行事は◯◯流し,しょうろう
柿を食べると鐘がなるのは◯◯寺,ほうりゅう
Eminem主演の映画は,えいとまいる
「 ＼(^o^)／ 」の読み方は？,おわた
ダン・オブ・？？,さーずでい
フィラデルフィアは○○州,ペンシルバニア
「伊豆の瞳」とも呼ばれる静岡県伊東市にある湖,いっぺきこ
「蝦夷富士」という別名があります,ようていざん
「磁石の指す北」と「真北」の間の角度のこと,へんかく
「天然痘をはらう」という意味の京都府久御山町の地名,いもあらい
「嵐の岬」と呼ばれていたことも,きぼうほう
『奥の細道』にも登場する秋田県の景勝地,きさかた
『竹取物語』にも登場します,ふじさん
６つの大字が集まってできた群馬県の村,くに
いろいろ書き込んで使います,はくちず
かつてはニシン漁で栄えた北海道浜益村の集落,ごきびる
かつては後醍醐天皇も滞在した奈良県南部の梅の名所,あのう
かつては石見銀山の積出港として栄えた島根県の町,ゆのつ
かつては相模国の国府があった小田原市の町,こうづ
その噴火によって尾瀬沼ができた福島県の南西部にある火山,ひうちがたけ
イチゴの生産量日本一です,とちぎけん
カスピ海や死海のような塩分を多く含んだ湖,かんすいこ
カメルーンの国名はポルトガル語でこの生物の意味,エビ
サンドスキー場や龍宮窟で知られる静岡県下田市の集落,とうじ
メノウ細工で知られる福井県小浜市の集落,おにゅう
ヤマタノオロチの伝説で知られる宍道湖に注ぐ川,ひいがわ
愛知県豊田市の改名される前の名前,ころも
井戸の水が酒になったという伝説から名がついた千葉県の町,しすい
英語では「グリーンハウス・エフェクト」といいます,おんしつこうか
遠洋漁業の基地となっている宮城県北東部の都市,けせんぬま
塩の産地として知られる沖縄県の島,あぐにじま
岡山県と鳥取県の境にある火山群,ひるぜん
沖縄県宮古島の北部に大潮の時だけ姿を現す珊瑚礁,やびじ
温室を使わずに野菜や花を栽培すること,ろじさいばい
下流には輪中がみられる濃尾平野を流れる川,いびがわ
海女の里として知られる三重県鳥羽市の漁村,いじか
鬼が退治されて平和になったといわれる長野市の山村,きなさ
宮崎県にある城下町です,おび
近年急速に発展した中国の中小企業の形態です,ごうちんきぎょう
九州にある霧島火山群の最高峰,からくにだけ
九州自然動物公園がある大分県宇佐市の町,あじむ
狐の嫁入り道中で知られる稲荷神社がある四日市市の地区,みやまど
港や川の水深を増すため水底の土砂や岩石をさらうこと,しゅんせつ
埼玉県にもっとも多い建物,しやくしょ
山の方から吹きます,おろし
山形県米沢市を中心とする最上川上流の地方,おきたま
滋賀県の面積の約６分の１,びわこ
鹿児島県の菱刈などで採掘されています,きん
小笠原諸島の聟島と嫁島の間にある島,なこうどじま
小麦は５月頃、米は９月頃,はざかいき
松花江の南岸に位置する中国黒竜江省の都市,ハルビン
焼き物で有名な栃木県南東部の町,ましこ
織田信長が命名したといわれています,ぎふ
新潟、富山、石川、福井４県の総称,ほくりく
人口は30万人以上です,ちゅうかくし
世界で７番目に大きい島です,ほんしゅう
世界遺産です,しらかみさんち
世界遺産の城跡がある沖縄県国頭郡の村,なきじん
世界有数の大都市です,ニューヨーク
星が降ったという言い伝えから命名された山口県の都市,くだまつ
青森県の花は？,リンゴ
静岡県の三保の松原はこれの一種,さし
赤道もこれの一種,いせん
大宰府の役人が住んだことから命名された福岡県大野城市の地区,ざっしょのくま
大昔の植物が変化したものです,せきたん
大都市の周辺にある中小都市,えいせいとし
大陸性気候では大きく海洋性気候では小さい,にちかくさ
地名を書いた紙を鼠にかじられ漢字が変わった滋賀県の集落,やないだ
中国・チベット自治区の中心都市,ラサ
中国の特別行政区,ほんこん
長い歴史を持つアフリカの共和国,エジプト
長野県の諏訪湖などで冬に見られる現象,おみわたり
田中康夫知事が住民登録して話題となった長野県の村,やすおか
渡良瀬川のものが有名な洪水や水害を防ぐための池,ゆうすいち
冬の樹氷が有名な山形県と宮城県にまたがる火山群,ざおう
東京都港区芝公園内にある徳川家の菩提寺,ぞうじょうじ
東京都西部の檜原村にある集落,へんぼり
東北地方で唯一の政令指定都市,せんだい
東北地方によく見られる民家の形です,まがりや
踏むと音がする鳴り砂で有名は宮城県気仙沼市の海岸,くぐなりはま
特産品の碁石で知られる宮崎県北部の都市,ひゅうが
南はバベルマンデブ海峡　北はスエズ運河,こうかい
日本でもっとも面積の小さい埼玉県の市,わらび
日本で最も南にある県庁所在地,なは
日本と韓国が領有権を主張しています,たけしま
日本の民家の屋根の形です,いりもや
日本は12海里まで,りょうかい
日本最大の不凍湖,しこつこ
日本三弁天の一つがある琵琶湖北部の島,ちくぶしま
日本有数の多雨地域として知られる三重県の市,おわせ
波のように曲がった地層の構造,しゅうきょく
肥後藩主細川綱利が開いた公園がある熊本市の地区,はけのみや
法隆寺や中宮寺がある奈良県北部の町,いかるが
北の小京都と呼ばれる北海道唯一の藩が置かれていた町,まつまえ
北緯23度27分です,きたかいきせん
北海道の後志支庁がある羊蹄山北西の町,くっちゃん
北半球では北東　南半球では南東から吹きます,ぼうえきふう
北流して日本海に注ぐ北海道で２番目に長い川,てしおがわ
摩周湖や屈斜路湖がある北海道の町,てしかが
面積の半分以上が米軍基地である沖縄本島にある町,ちゃたん
木曾川・長良川・揖斐川の下流のものが有名です,わじゅう
由利徹のギャグで有名になった北海道の内浦湾に面する町,おしゃまんべ
利根川上空にできる入道雲を俗にこう呼びます,ばんどうたろう
1600年にオランダ船・リーフデ号が漂着しました,うすきわん
1844年、清がアメリカと結んだ不平等条約は○○条約？,ぼうか
1844年、清がフランスと結んだ不平等条約は○○条約？,こうほ
1879年に『民権自由論』を著しました,うえきえもり
1894年に撤廃されました,ちがいほうけん
1928年、奉天に引き上げる途中日本軍によって暗殺されました,ちょうさくりん
1955年に保守合同が実現したときの自由党の総裁,おがたたけとら
607年に随に渡りました,おののいもこ
608年に隋に渡った僧,みん
664年に対馬・壱岐などに防人とともに設置された狼煙の一種,とぶひ
969年に左大臣・源高明が左遷された事件は○○の変？,あんな
「蕉門十哲」に数えられる江戸時代の俳人です,かがみしこう
「定信」の字を分解して題名をつけた松平定信の自叙伝,うげのひとこと
「伝教大師」と呼ばれました,さいちょう
「隋」に代わって中国を統一,とう
『論語』を伝えたとされる渡来人,わに
２人の皇后が唐の政治を混乱させた事件,ぶいのか
４歳で将軍に就き８歳で死去した江戸幕府の第七代将軍,とくがわいえつぐ
この像のあるお寺は？,とうだいじ
イギリスと清の間に起こった戦争の原因ともなった麻薬,アヘン
イギリスの元首相チャーチルの演説で有名「？のカーテン」,てつ
シルクロードを日本語でいうと「“何”の道」？,きぬ
セオドア・ルーズベルト大統領のラテンアメリカに対する政策,こんぼうがいこう
ソ連の歴史上ただ１人の大統領です,ゴルバチョフ
ドイツ帝国宰相・ビスマルクのカトリック弾圧政策,ぶんかとうそう
ハート形、みみずく型などがあります,どぐう
伊勢の豪商・沼波弄山が始めた三重県名産の陶器,ばんこやき
伊庭想太郎に刺殺された明治の政治家,ほしとおる
鎌倉時代、京都に設置された番所,かがりや
鎌倉幕府の最後の将軍,もりくにしんのう
寛政の三博士の一人です,しばのりつざん
寛政の三博士の一人です,びとうじしゅう
漢の武帝が朝鮮に設置しました,げんとぐん
丸橋忠弥とともに慶安の変を起こしました,ゆいしょうせつ
機長はポール・ディベッツＪｒ．,エノラゲイ
義和団事件の講和条約である北京議定書の別名,しんちゅうわやく
警察予備隊→○○○→自衛隊,ほあんたい
現存するわが国最古の歴史書,こじき
故国である楚を憂い詩人・屈原が身を投げた湖,べきら
五街道とその付属街道以外の道路をこう呼びました,わきかいどう
後醍醐天皇の冥福を祈るために天竜寺を開山しました,むそうそせき
後唐、後晋、遼、後漢、後周で高位についた「五代の宰相」,ふうどう
江戸、天明の狂歌三大家とは唐衣橘洲、太田南畝と誰？,あけらかんこう
江戸時代の医師・華岡青洲が乳癌手術に用いた麻酔薬,つうせんさん
江戸初期に対馬と朝鮮が結んだ通商条約,きゆうやくじょう
高橋泥舟、山岡鉄舟とともに「幕末三舟」と呼ばれました,かつかいしゅう
高野長英や渡辺華山が弾圧されました,ばんしゃのごく
坂本龍馬が最期を遂げた京都の醤油屋,おうみや
薩長同盟の立役者です,さかもとりょうま
氏姓制度の「姓」のひとつ,あたい
就任時の年齢が最も若い内閣総理大臣です,いとうひろぶみ
初代特許庁長官も務めました,たかはしこれきよ
勝海舟が艦長を務めました,かんりんまる
臣・連・君・直などがあった古代の豪族の称号,かばね
星座の名前にもなっているルネサンスの三大発明のひとつ,らしんばん
西郷隆盛、板垣退助、江藤新平らが主張しました,せいかんろん
戦国時代の基本的な陣形のひとつ,かくよく
戦国時代の基本的な陣形のひとつ,こうやく
足利義政が建立したのは○○寺？,ぎんかく
代表作に法隆寺金堂の釈迦三尊像がある飛鳥時代の仏像彫刻師は？,くらつくりのとり
大化の改新で廃止された朝廷の直轄地,とんそう
大化の改新後に６歳以上の男女に配られました,くぶんでん
大正デモクラシーの指導者・吉野作造が唱えました,みんぽんしゅぎ
大日本帝国憲法や教育勅語などの起草に参加した明治の官僚,いのうえこわし
第二次世界大戦前のスローガン,きょこくいっち
地質年代で、第４紀前半の氷河時代にあたります,こうしんせい
中国・五胡十六国時代の「五胡」のひとつ,きょう
中国で起こった「安史の乱」の「史」とはこの人のこと,ししめい
中国の易姓革命における君主の交代方法のひとつ,ぜんじょう
中国四大奇書のひとつとされる西門慶を主人公とした小説は？,きんぺいばい
中世まで、銅や鉛などを使って盛んに行われました,れんきんじゅつ
中世日本の同業者組合,ざ
朝鮮戦争の別名にもなっている楽器です,アコーディオン
通称「笑左衛門」と呼ばれた薩摩藩の家老,ずしょひろさと
鶴岡八幡宮で源実朝を暗殺,くぎょう
天保の改革で水野忠邦が解散させました,かぶなかま
渡辺華山による肖像画でも有名な古河藩の蘭学者,たかみせんせき
徳のある者が天命を受けて皇帝になること,えきせいかくめい
徳川家康が派遣しました,しゅいんせん
縄文時代の人々が食べた貝殻や動物の骨を捨てた場所,かいづか
日英同盟の成立に尽力した明治時代の外交官,はやしただす
日本の国際連盟脱退が決まった会議の主席全権,まつおかようすけ
日明貿易では、これと区別するために勘合符が使われました,わこう
武士が武芸訓練として励みました,かさがけ
武士が武芸訓練として励みました,やぶさめ
北米、南米、オーストラリアといえば？,しんたいりく
本名を「ジュガシヴィリ」という旧ソ連の指導者,スターリン
本名を中田実という明治時代の国民主義者,くがかつなん
明治初期、警察官はこう呼ばれました,らそつ
唯一の滋賀県出身の総理大臣です,うのそうすけ
律令時代、北陸道を防御するため設置された関所,あらちのせき
律令制における基本法を補足した追加の法律のこと,きゃく
律令制の役人・国司はここで政務をとりました,こくが
「黒いダイヤ」と呼ばれました,せきたん
６尺を「１」とする長さの単位,けん
Ｎ極とＳ極があります,じしゃく
ｘ軸とｙ軸で分けられる部分,しょうげん
おおいぬ座のアルファ星シリウスの中国での呼び名,てんろうせい
おしべのこと。音読みすると？,ゆうずい
この元素が体内に不足すると味覚障害の恐れがあります,あえん
てこの原理に必要です,さようてん
てこの原理に必要です,りきてん
アスコルビン酸の欠乏で引き起こされる病気,かいけつびょう
アリとアリマキ、ヤドカリとイソギンチャクなど,きょうせい
ウニの成長過程のひとつ,のうはい
ウミユリ、ヒトデ、ナマコなどがこの仲間です,きょくひどうぶつ
ギリシャ文字のパイで表します,えんしゅうりつ
ギリシャ文字のパイで表します,しんとうあつ
クスノキから採れる柔らかい結晶,しょうのう
ケフェウス型変光星やミラ型長周期変光星など,みゃくどうせい
シーラカンスはこの仲間,そうきるい
ビタミンＡの欠乏で起こります,やもうしょう
プラスとマイナスがあります,ドライバー
マッチや火薬の原料として利用される元素,いおう
マツやイチョウなど風を利用して受粉する花,ふうばいか
胃の粘膜に無数に並ぶ微細な穴,いしょうか
英語では「フードチェーン」,しょくもつれんさ
液体の流動性と固体の光学的性質をあわせもつ物質の状態,えきしょう
円周上の一点が描く軌跡です,サイクロイド
火山や温泉で見られる鉱物です,いおう
極めて低温のとき液体ヘリウムに見られる粘性０の状態,ちょうりゅうどう
空気を遮断して、木材や石炭などを加熱します,かんりゅう
原子番号10の元素です,ネオン
固体が液体を経ずに気体に変化します,しょうか
固体に力を加えて変形させ力を抜いても元に戻らない性質,そせい
恒星がその一生を終えるときに引き起こす大規模な爆発現象,ちょうしんせい
骨の中がすきまだらけになる病気といえば○○○症？,こつそしょう
砂丘の表面にできる美しい模様です,ふうもん
最初はホウレンソウの葉から発見されたビタミン,ようさん
三角関数で用いる、半径１で中心が原点にある円のこと,たんいえん
質量の単位のひとつです,キログラム
種子の中にあり、発芽のための養分を貯蔵しています,はいにゅう
常温で液体である元素,しゅうそ
真珠の重さを表す単位,もんめ
人間の心臓には２つあります,しんぼう
水晶はこの鉱物の結晶です,せきえい
水素と酸素の化合物です,みず
世界初のものはオランダの学者レーウェンフックが製作しました,けんびきょう
正しくは「積乱雲」,にゅうどうぐも
俗に「魚の目」と呼ばれます,けいがん
太陽に最も近い惑星,すいせい
太陽の表面にある周りより温度の低い部分,こくてん
体長は１～３mm,ミジンコ
台風や低気圧によって海水面が上昇する現象,たかしお
単位は「アンペア」,でんりゅう
地下茎の周りの葉が肉厚で球状の塊になっているもの,りんけい
地下水のくみ上げすぎなどが原因で起こります,じばんちんか
地震の揺れのうち、はじめに現れる小さな揺れ,しょきびどう
虫歯になることを意味する医学用語,うしょく
天球上の太陽の通り道,おうどう
導電性ポリマーの発見と開発でノーベル化学賞を受賞,しらかわひでき
銅に生じる緑色のサビ,ろくしょう
日本からは全く見えない南天の星座の１つです,ふうちょう
日本語では「極光」という自然現象は？,オーロラ
妊娠する能力を表す医学用語,にんようせい
飛行機の主翼に上向きにかかる力,ようりょく
必ず同じ角度になります,たいちょうかく
氷が溶けて水になります,ゆうてん
表皮の角質層からはがれ落ちます,ふけ
風をひくと出る「せき」のことです,がいそう
分母・分子が分数になっています,はんぶんすう
幕末から明治にかけて「化学」はこう呼ばれました,せいみ
理科の実験道具です,しけんかん
連鎖球菌が原因で起こり赤い発疹をともなう疾患,しょうこうねつ
19世紀フランスの作家モーパッサンのデビュー作は？,しぼうのかたまり
「フィロソフィー」という英語を「哲学」と訳した日本の哲学者,にしあまね
「辛酉」の年は革命がおこるなど未来の吉凶についての説,しんいせつ
『どてらい男』『銭の花』などの小説を書いた昭和の作家は？,はなとこばこ
『タクシー狂躁曲』『血と骨』などの小説で知られる作家は？,ヤンソギル
『ローマ人の物語』シリーズで有名なイタリア在住の女流作家,しおのななみ
『鞍馬天狗』『パリ燃ゆ』などの小説を書いた作家,おさらぎじろう
『芸能界「一発屋」外伝』などの著書がある芸能評論家,ほうせんかおる
『古寺巡礼』『風土』などの著書で有名な日本の哲学者は？,わつじてつろう
『十六夜日記』を著した女流歌人,あぶつに
『巴里からの遺言』『愛の領分』などの作品で知られる作家は？,ふじたよしなが
エコール・ド・パリを代表する日本人画家,ふじたつぐはる
オスカー・ドミンゲスが始めたこのような絵画の技法の名称は？,デカルコマニー
オランダの画家ゴッホが好んで題材にした花です,ひまわり
チベットに潜入し『西蔵旅行記』を書いた日本の仏教学者,かわぐちえかい
パソコンの周辺機器のひとつです,マウス
レベッカ・シャープを主人公としたサッカレーの小説は？,きょえいのいち
安楽死をテーマとした森鴎外の小説です,たかせぶね
伊勢湾口に浮かぶ神島を舞台にした三島由紀夫の小説,しおさい
何も考えずひたすら座禅する曹洞宗の修行法,しかんたざ
歌集『海やまのあひだ』で有名な別名を「釈超空」という歌人は？,おりくちしのぶ
歌人・斎藤茂吉を父にもつ芥川賞作家です,きたもりお
海軍軍人・川島武男と片岡浪子の恋愛を描いた徳富蘆花の小説は？,ほととぎす
芥川龍之介の遺作となった小説の題名は？,はぐるま
柿本人麻呂、山部赤人と共に「和歌三神」といわれる人物は？,そとおりひめ
牛鍋を食べる庶民の姿を描いた仮名垣魯文の代表作は？,あぐらなべ
句集『冬青空』『雑草園』などで知られる岩手県出身の俳人は？,やまぐちせいそん
剣豪・机竜之介を主人公とする中里介山の小説は？,だいぼさつとうげ
国木田独歩の代表作は『牛肉と○○○』？,じゃがいも
作家・火野葦平の芥川賞受賞作です,ふんにょうたん
作家・三島由紀夫の義理の父にあたる画家です,すぎやまやすし
作家・島崎藤村の小説『破戒』の主人公は？,せがわうしまつ
作家の浅田次郎のおじに当たる第５代中央気象台長,ふじわらさくへい
桜井みかげを主人公としたよしもとばななの小説は？,キッチン
山本周五郎の小説『赤ひげ診療譚』の主人公,にいできょじょう
紫式部の『源氏物語』第二巻の名前です,ははきぎ
詩集『一握の玻璃』『砂金』などで知られる詩人,さいじょうやそ
蒔岡家の四姉妹を描いた谷崎潤一郎の小説は？,ささめゆき
主人公・早瀬主税と元芸者・お蔦の恋を描いた泉鏡花の小説は？,おんなけいず
主人公の僧侶・宗朝の不思議な体験を描いた泉鏡花の小説です,こうやひじり
初めて足のない幽霊を描いたと言われる江戸時代の画家,まるやまおうきょ
書道や絵画の作品が完成した後に作者が署名や押印をすること,らっかん
女優アルカージナが登場するチェーホフの小説は？,かもめ
女流作家・平岩弓枝の直木賞受賞作です,たがねし
小説『ウホッホ探検隊』で有名な作家は○○あがた？,ひかり
小説『金閣寺』で知られる作家三島由紀夫の命日を何という？,ゆうこくき
小説『由煕』で第100回芥川賞を受賞した作家は？,イヤンジ
小説家の大江匡とお雪の恋愛を描いた永井荷風の小説は？,ぼくとうきたん
少年愛をテーマにした作品を多く残しました,いながきたるほ
少年時代の思い出を描いた中勘助の自伝的小説は？,ぎんのさじ
消費税を導入したときの総理大臣のフルネームは？,たけしたのぼる
信仰のために命を捧げること,じゅんきょう
政治小説『経国美談』を書いた明治の作家は？,やのりゅうけい
仙人になろうとする青年を主人公とした芥川龍之介の小説です,とししゅん
代表作に『黄瀬川陣』『王昭君』『鴻門会』などがある日本画家,やすだゆきひこ
代表作に『鳴門』『醍醐』などがある日本の画家です,おくむらとぎゅう
代表作に『老猿』『西郷隆盛像』がある明治の彫刻家は？,たかむらこううん
谷崎潤一郎の小説『細雪』の主人公は○○家の四人姉妹？,まきおか
調印された条約を締結権を持つ機関が承認すること,ひじゅん
鳥類の肺に数対ついている薄い膜の袋,きのう
日本で活躍するカナダ出身の作家Ｃ・Ｗ・ニコルの小説です,いさな
日本ペンクラブ会長も務めた作家です,おざきほつき
日本人初のノーベル文学賞受賞者,かわばたやすなり
日露戦争下の金沢を舞台にした五木寛之の小説です,ときのはか
念写の発見者といわれる日本の超心理学者,ふくらいともきち
白話文学を提唱した中国の思想家,こてき
貧しい農民の生活を描いた小説『土』で有名な作家は？,ながつかたかし
魔女狩り事件を扱った平野啓一郎の芥川賞受賞作は？,にっしょく
明治の作家・森鴎外の小説『ヰタ・セクスアリス』の主人公,かねいしずか
明治時代に樋口一葉が学んだ歌人・中島歌子の歌塾は？,はぎのや
明治時代の作家・樋口一葉の師匠であり恋人であった作家,なからいとうすい
幽霊のお露が登場する三遊亭圓朝の怪談は？,ぼたんどうろう
2004年１月に公開された横山秀夫原作の映画,はんおち
2004年には映画『珈琲時光』に主演して女優デビューしました,ひととよう
2004年に開催された○○○花博？,はまなこ
2004年に魚住昭が著した話題の本は『○○○○差別と権力』？,のなかひろむ
2004年に自伝『ゲバゲバ70年』を出版しました,おおはしきょせん
2004年に出版差し止めの処分を受けた雑誌は「週刊○○」？,ぶんしゅん
2004年フィギュアスケートの世界選手権で優勝しました,あらかわしずか
2005年１月に誕生した栃木県の市は○○○○市？,なすしおばら
2005年３月22日に秋田県に誕生した新しい都市は○○市,かたがみ
2005年５月にＴＢＳの男子アナ安東弘樹との結婚を発表しました,かわはたゆうか
2005年５月に更迭された東京都副知事です,はまうずたけお
2005年７月に鹿児島県に誕生した新しい都市は○○市？,そお
2005年９月２日に茨城県に誕生する都市は○○市？,なめがた
2005年に『国家の罠』を出版した別名「外務省のラスプーチン」,さとうまさる
2005年にモーニング娘。の第７期メンバーとして新加入,くすみこはる
2005年に起きた日中問題の解決に尽力しました,まちむらのぶたか
2005年に死去した薬害エイズ事件の被告だった元帝京大学副学長,あべたけし
2005年に先進国首脳会議サミットを開催する国は？,イギリス
2005年に野球殿堂入りしたＮＨＫのアナウンサーは？,しむらまさより
2005年のベストセラー小説『終わりからの旅』の作者,つじいたかし
2005年公開の映画『逆境ナイン』に主演した俳優です,たまやまてつじ
『ダーリンの頭ン中』の作者は小栗○○○？,さおり
『冬のソナタ』のヒロインを演じた韓国の女優,チェジウ
『恋のバカンス』でデビューした加護亜依、辻希美のユニット,ダブルユー
ＣＤ『強いキズナ』で芸能界に復帰,すずきあみ
ＳＡＲＳ騒動で有名になりました,ハクビシン
この歴史上の人物を描いた2005年公開の映画は？,アレキサンダー
コカ・コーラ社から新しく発売された緑茶ドリンク,はじめ
デジタル絵本『ストレイシープ』でメリー役を演じています,ゆさみもり
デビュー以来快進撃を続ける期待の若手ボクサーです,かめだこうき
ライブドアとフジテレビの争いで注目を集めました,むらかみよしあき
海老沢勝二会長が辞任した後ＮＨＫの新会長に就任しました,はしもとげんいち
現在の日本経団連の会長は？,おくだひろし
参議院で当選した経済財政・郵政民営化担当大臣,たけなかへいぞう
史上最年少で芥川賞を受賞した綿矢りさが通う大学は？,わせだ
首相補佐官に任命された前外務大臣,かわぐちよりこ
小説『親鸞』『蓮如』で有名な2005年に亡くなった作家です,にわふみお
正式には「端島」という廃墟ブームで有名になった島,ぐんかんじま
全日本女子バレーのエース「プリンセス・メグ」といえば？,くりはらめぐみ
日本アカデミー賞作品賞を受賞した映画『半落ち』の監督は？,ささべきよし
野田義治がプロデュースした女性８人組ユニットです,みやび
「ちょっかいを出す」という言葉はこの動物の動作が由来です,ねこ
「びっくりする、ぎょっとする」という意味の言葉,たまげる
「出家」に対し、僧侶が世俗の人間に戻ること,げんぞく
「人が集まり、親しみあう月」という意味がある、１月の別名,むつき
「人は○○のみにて生きるものにあらず」？,パン
「息も絶え絶え」という意味,きそくえんえん
『古今和歌集』の歌風のたとえにされる、か弱い女性を指す言葉,たおやめ
あらゆる仕事を一人でたくみに処理する能力を持っていること,はちめんろっぴ
いったん支出したお金をもとの予算に戻し入れることです,れいにゅう
けちな人のこと,りんしょくか
これは着てても、心は錦です,ぼろ
へたな囲碁のことを、ある台所用品を使って何という？,ざるご
もともとは鳥の寝る巣を意味した人が寝に帰る住みかのこと,ねぐら
ものごとをおろそかにしたりいい加減にして放っておくこと,なおざり
キョロキョロすること,とみこうみ
チベット語で「神の地」という意味の中国チベット自治区の都市,ラサ
チョークを日本語でいうと？,はくぼく
メガネやバッグにもその名前がつくものがあります,ボストン
安楽に、悠々と暮らすさまを「左○○」という？,うちわ
一つの道で最も尊敬されている人のこと,たいざんほくと
陰謀や悪事の常に行われている所,ふくまでん
英語では「ドルフィン」という海に住む哺乳類,いるか
英語では「ファウンテンペン」,まんねんひつ
宴会などが真っ盛りに行われている状態のこと,たけなわ
家を借りる人です,たなこ
歌舞伎の場面が語源,どろじあい
楽器のウクレレはハワイの言葉で「跳ねる○○」という意味です,ノミ
漢字で書くと「薬を煎じるもの」という意味になります,やかん
見るまでは死ねません,ナポリ
若く未熟な人をあざけってこれが「黄色い」と表現します,くちばし
手紙を書いても返事がありません,なしのつぶて
真面目で堅苦しいことを、ある漢数字を使った言葉で何という？,しかくしめん
人の話に合わせてうなづくこと,あいづち
相手に首を切られても後悔しないほど強い友情は「何の交わり」？,ふんけい
俗に「武士は食わねど○○○」といいます,たかようじ
他人の文章や学説などを盗作し自分のものとして発表すること,ひょうせつ
男性の中に、女性が１人だけいる様子を表す言葉といえば？,こういってん
同じ事をしても人によって力量に違いがあることを喩えた言葉です,あいごせいもく
物を売っているお坊さん,まいす
歩幅のたとえにも使われます,コンパス
料理の味付けに使われるものにちなむ、料理の味加減のこと,あんばい
10円カレーが有名な日比谷公園にあるレストラン,まつもとろう
11月15日です,しちごさん
1958年、東京の池袋で創業した定食屋チェーン,おおとや
90歳のお祝いです,そつじゅ
「うどんすき」を登録商標とした店,みみう
「銀座のユダヤ人」と呼ばれた日本マクドナルドの創業者,ふじたでん
「幻の鮭」と呼ばれます,けいじ
「七変化」という別名もあります,あじさい
「南無妙法蓮華経・・」,だいもく
「明日はヒノキになろう」という意味です,あすなろ
お正月の飾りに使われるミカン科の果物,だいだい
きりたんぽによく合います,ひないどり
こんがり焼けたパンの色は何色？,きつね
ざるそばにありもりそばにないもの,のり
もともとは庶民の平服だった鎌倉時代以降の武家の礼服,ひたたれ
アンクレットをつける場所,あしくび
ウマ科、サイ科、バク科に分けられます,きているい
エースコックのマークでブタが右手に持っているものは？,フライパン
オーストラリアだけに棲息しています,カモノハシ
クリスチャン・ディオールの香水「プアゾン」の意味,どく
スケトウダラの卵巣,めんたいこ
スペインの国花といえば？,カーネーション
スペイン語で「鎧を着たもの」という意味の名前をもつ動物は？,アルマジロ
タイワンドジョウとカムルチーのこと,らいぎょ
ツルッと食べます,ところてん
トッグルというボタンが特徴,ダッフルコート
ホウキ、ブラシ、縄などの原料になるヤシ科の植物,しゅろ
レールと枕木を固定します,いぬくぎ
運動会の競技で割られるもの,くすだま
英語では「ペーパーウェイト」,ぶんちん
貝殻が退化した巻貝の一種です,なめくじ
